检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记,日线边界判定
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:23:03.000,20260309,21:23:03.000,21:23:04.000,PX,PX605,1383000,2761,2762,1383000,interval_execution_drop,9304.0,2.2239,5,"PX609,PX606,PX607,PX604,PX608",20,275,290.0,9320.0,8287.32824427481,-8.0,-17.196904557179707,508.3358778625952,1092.7254468241513,8544.060790273556,379.96960486322223,38.5128,60.8296,508.3358778625952,262.0,2171280.0,262.0,266367.9999999999,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:31:08.000,20260309,21:31:08.000,21:31:09.000,PX,PX605,1868000,3717,3718,1868000,interval_execution_drop,9388.0,3.7065,5,"PX609,PX606,PX607,PX604,PX608",20,285,290.0,9388.0,8645.336363636363,0.0,0.0,371.33181818181856,791.0775845373212,9007.139037433155,190.43048128342252,29.151999999999997,45.6776,367.33181818181856,440.0,3803948.0,440.0,326772.00000000035,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX605|21:32:16.000,20260309,21:32:16.000,21:32:17.000,PX,PX605,1936000,3853,3854,1936000,interval_execution_drop,9261.0,5.559749999999999,4,"PX609,PX606,PX607,PX608",20,286,290.0,9238.0,8775.749077490775,11.5,24.835330957779934,242.62546125461267,523.9724894819408,9024.313725490196,118.3431372549021,27.9368,34.3168,239.12546125461267,542.0,4756456.0,542.0,263006.0000000001,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX607|21:13:47.000,20260309,21:13:47.000,21:13:48.000,PX,PX607,827000,946,947,827000,interval_execution_drop,9151.0,6.6716999999999995,5,"PX605,PX609,PX606,PX604,PX608",20,100,288.0,9158.0,8037.2,-3.5,-7.649437219975958,556.9000000000001,1217.1347393727465,8159.454545454545,495.7727272727275,63.303999999999995,105.988,556.9000000000001,10.0,80372.0,10.0,11138.000000000002,quote_only_recovered_3s,,5.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:32:16.000,20260309,21:32:16.000,21:32:17.000,PX,PX609,1936000,2977,2978,1936000,interval_execution_drop,8789.0,8.8956,3,"PX606,PX607,PX608",20,113,290.0,8800.0,8385.291666666666,-5.5,-12.51564455569462,201.85416666666697,459.333636742899,8555.641791044776,116.67910447761189,37.0476,115.9752,201.85416666666697,48.0,402494.0,48.0,19378.00000000003,truncated,,,,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX609|21:39:21.000,20260309,21:39:21.000,21:39:22.000,PX,PX609,2361000,3628,3629,2361000,interval_execution_drop,8884.0,1.4826,5,"PX605,PX606,PX607,PX604,PX608",20,133,289.0,8874.0,7780.666666666667,5.0,11.256190904997748,551.6666666666665,1241.9330631847513,7899.6,492.1999999999998,20.0,68.54479999999998,551.6666666666665,27.0,210078.0,27.0,29789.999999999993,truncated,,,,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SH604|21:04:22.000,20260309,21:04:22.000,21:04:23.000,SH,SH604,262000,512,513,262000,interval_execution_drop,2295.0,5.9304,5,"SH605,SH607,SH606,SH609,SH608",20,146,252.0,2294.0,2191.4117647058824,1.0,4.357298474945534,103.58823529411757,451.3648596693576,2227.76,67.23999999999978,39.0824,46.477999999999994,103.58823529411757,51.0,111762.0,51.0,5282.999999999996,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SH605|21:06:19.000,20260309,21:06:19.000,21:06:20.000,SH,SH605,379000,786,787,379000,interval_execution_drop,2359.0,2.9652,5,"SH604,SH607,SH606,SH609,SH608",20,278,290.0,2350.0,2219.5104408352668,9.0,38.15175922000848,139.48955916473324,591.30800832867,2252.7158469945357,106.2841530054643,38.5824,67.2344,128.98955916473324,431.0,956609.0,431.0,60120.00000000002,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SH606|21:06:01.000,20260309,21:06:01.000,21:06:02.000,SH,SH606,361000,625,626,361000,interval_execution_drop,2407.0,7.78365,5,"SH605,SH604,SH607,SH609,SH608",20,114,290.0,2400.0,2311.3,7.0,29.081844619858742,95.69999999999982,397.5903614457824,2339.740740740741,67.25925925925912,81.6648,59.8736,88.19999999999982,20.0,46226.0,20.0,1913.9999999999964,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA604|21:12:45.000,20260309,21:12:45.000,21:12:46.000,TA,TA604,765000,1465,1466,765000,interval_execution_drop,6644.5,9.26625,5,"TA605,TA609,TA606,TA607,TA701",20,107,290.0,6686.0,6360.84,-20.75,-62.45767175859733,141.82999999999993,426.9094740010533,6533.025,55.73750000000018,91.6712,50.5384,141.82999999999993,50.0,318042.0,50.0,14182.999999999993,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA604|21:29:43.000,20260309,21:29:43.000,21:29:44.000,TA,TA604,1783000,3213,3214,1783000,interval_execution_drop,6637.0,1.4826,5,"TA605,TA609,TA606,TA607,TA701",20,153,289.0,6638.0,6320.915662650603,-0.5,-1.506704836522525,158.0421686746986,476.2457998333542,6448.779661016949,94.11016949152554,20.0,20.95599999999999,158.0421686746986,83.0,524636.0,83.0,26234.999999999964,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA604|21:29:55.000,20260309,21:29:55.000,21:29:56.000,TA,TA604,1795000,3237,3238,1795000,interval_execution_drop,6612.5,1.11195,4,"TA605,TA606,TA607,TA701",20,158,290.0,6614.0,6076.109090909091,-0.75,-2.268431001890359,268.1954545454546,811.1771782093144,6255.28,178.61000000000013,20.0,31.10159999999999,268.1954545454546,55.0,334186.0,55.0,29501.500000000007,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA604|21:30:02.000,20260309,21:30:02.000,21:30:03.000,TA,TA604,1802000,3250,3251,1802000,interval_execution_drop,6605.0,1.85325,4,"TA605,TA609,TA606,TA701",20,162,290.0,6606.0,6142.774193548387,-0.5,-1.514004542013626,231.11290322580635,699.8119704036529,6499.9473684210525,52.52631578947376,20.0,28.886399999999995,231.11290322580635,62.0,380852.0,62.0,28657.999999999985,trade_recovered_3s,,2.0,1.0,,建议排除
