检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|14:49:59.000,20260107,14:49:59.000,,AG,AG2602,64199000,64244,64244,64199000,visible_execution_drop,19190.25,1.85325,4,"AG2606,AG2605,AG2608,AG2603",20,526,290.0,19150.0,19162.75,40.25,20.97419262385847,27.5,14.330193718164171,,,34.5824,32.44086666665468,31.0,40.25,20.97419262385847,detector_event_depth,52.0,14946945.0,52.0,21450.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|14:50:03.000,20260107,14:50:03.000,,AG,AG2602,64203000,64252,64252,64203000,visible_execution_drop,19194.5,0.7413,5,"AG2604,AG2606,AG2605,AG2608,AG2603",20,525,290.0,19152.0,19165.54716981132,42.5,22.141759358149468,28.95283018867849,15.083919971178457,,,34.5824,32.605599999985614,38.75,42.5,22.141759358149468,detector_event_depth,53.0,15236610.0,53.0,23017.4999999994,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|00:34:44.500,20260107,00:34:44.500,,AG,AG2603,12884500,24843,24843,12884500,visible_execution_drop,19893.0,3.33585,4,"AG2604,AG2602,AG2606,AG2605",20,129,290.0,19866.0,19877.944444444445,27.0,13.572613482129391,15.055555555554747,7.568268011639645,,,20.0,20.0,26.0,27.0,13.572613482129391,detector_event_depth,18.0,5367045.0,18.0,4064.9999999997817,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|01:20:41.000,20260107,01:20:41.000,,AG,AG2603,15641000,29836,29836,15641000,visible_execution_drop,19942.5,2.2239,3,"AG2602,AG2606,AG2608",20,148,290.0,19910.0,19925.166666666668,32.5,16.29685345367933,17.33333333333212,8.691655175295034,,,28.651999999999997,23.264639999992095,32.5,32.5,16.29685345367933,detector_event_depth,6.0,1793265.0,6.0,1559.9999999998909,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|02:25:00.500,20260107,02:25:00.500,,AG,AG2603,19500500,37406,37406,19500500,visible_execution_drop,19789.0,4.8184499999999995,4,"AG2604,AG2602,AG2606,AG2605",20,133,290.0,19750.0,19774.1,39.0,19.70791854060337,14.900000000001455,7.529435545000482,,,30.151999999999997,26.9368,38.5,39.0,19.70791854060337,detector_event_depth,10.0,2966115.0,10.0,2235.0000000002183,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|09:06:34.000,20260107,09:06:34.000,,AG,AG2603,43594000,38786,38786,43594000,visible_execution_drop,19950.0,3.7065,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,352,290.0,19914.0,19934.2,36.0,18.045112781954888,15.799999999999272,7.919799498746502,,,34.5824,28.651999999999997,32.5,36.0,18.045112781954888,detector_event_depth,10.0,2990130.0,10.0,2369.999999999891,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|10:47:04.500,20260107,10:47:04.500,,AG,AG2603,49624500,48899,48899,49624500,visible_execution_drop,19794.5,0.7413,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,103,290.0,19760.0,19772.833333333332,34.5,17.429083836419206,21.66666666666788,10.945801443162434,,,30.151999999999997,26.000720000017257,33.0,34.5,17.429083836419206,detector_event_depth,6.0,1779555.0,6.0,1950.0000000001091,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2603|14:38:00.000,20260107,14:38:00.000,,AG,AG2603,63480000,61868,61868,63480000,visible_execution_drop,19156.5,1.4826,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,261,290.0,19119.0,19136.625,37.5,19.575600970949807,19.875,10.3750685146034,,,35.5824,35.5824,30.5,37.5,19.575600970949807,detector_event_depth,16.0,4592790.0,16.0,4770.0,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|02:15:42.000,20260107,02:15:42.000,,AG,AG2604,18942000,37884,37884,18942000,visible_execution_drop,19952.0,1.4826,3,"AG2606,AG2605,AG2608",20,531,290.0,19930.0,19943.68484848485,22.0,11.026463512429832,8.315151515151229,4.1675779446427565,,,20.0,20.0,18.70408163265347,22.0,11.026463512429832,detector_event_depth,165.0,49360620.0,165.0,20579.99999999929,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|02:24:46.000,20260107,02:24:46.000,,AG,AG2604,19486000,38972,38972,19486000,visible_execution_drop,19849.25,3.33585,3,"AG2606,AG2605,AG2603",20,567,290.0,19812.0,19831.01851851852,37.25,18.766452132952125,18.23148148148175,9.184972470739073,,,21.0064,20.0,31.509328358208226,37.25,18.766452132952125,detector_event_depth,108.0,32126250.0,108.0,29535.000000000437,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|10:01:24.500,20260107,10:01:24.500,10:01:25.500,AG,AG2604,46884500,46971,46971,46884500,interval_execution_drop,19474.0,1.4826,5,"AG2602,AG2606,AG2605,AG2608,AG2603",20,580,290.0,19476.0,19448.660477453584,-2.0,-1.0270103728047653,25.339522546415537,13.011976248544489,19442.3543758967,31.64562410330109,20.0,20.0,24.239522546416993,31.64562410330109,16.25019210398536,detector_event_depth,377.0,109982175.0,377.0,143294.99999997986,trade_recovered_3s,,1.5,1.0,
