trade_id,trade_date,target_contract,hedge_contract,direction,fill_key,fill_time,fill_context,event_label,fill_evidence,target_entry_price,hedge_entry_key,hedge_entry_price,exit_key,exit_time,exit_reason,status,target_exit_price,hedge_exit_price,target_pnl,hedge_pnl,gross_pnl,commission,net_pnl,gross_margin,unhedged_worst_mark_pnl,hedged_worst_mark_pnl,observed_worst_mark_pnl
20260303-AP605-0031,20260303,AP605,AP604,long,61274000,14:01:14.000,normal_quote,normal_move_fill,interval_vwap,10210.0,61275000,10156.0,61277000,14:01:17.000,hedged_exit,closed,10457.0,10180.0,247.0,-24.0,223.0,0.0,223.0,2036.6,0.0,223.0,0.0
20260303-AP605-0032,20260303,AP605,AP604,long,61281000,14:01:21.000,normal_quote,normal_move_fill,interval_vwap,10216.0,61282000,10156.0,61284000,14:01:24.000,hedged_exit,closed,10452.0,10177.0,236.0,-21.0,215.0,0.0,215.0,2037.2,0.0,215.0,0.0
20260303-AP605-0033,20260303,AP605,AP604,long,61287000,14:01:27.000,normal_quote,normal_move_fill,interval_vwap,10210.0,61288000,10156.0,61290000,14:01:30.000,hedged_exit,closed,10456.0,10177.0,246.0,-21.0,225.0,0.0,225.0,2036.6,0.0,222.0,0.0
20260303-AP605-0034,20260303,AP605,AP604,long,61293000,14:01:33.000,normal_quote,normal_move_fill,interval_vwap,10213.0,61294000,10156.0,61296000,14:01:36.000,hedged_exit,closed,10453.0,10175.0,240.0,-19.0,221.0,0.0,221.0,2036.9,0.0,221.0,0.0
20260303-AP605-0035,20260303,AP605,AP604,long,61299000,14:01:39.000,normal_quote,normal_move_fill,interval_vwap,10213.0,61300000,10149.0,61302000,14:01:42.000,hedged_exit,closed,10456.0,10156.0,243.0,-7.0,236.0,0.0,236.0,2036.2000000000003,0.0,236.0,0.0
20260303-AP605-0036,20260303,AP605,AP604,long,61305000,14:01:45.000,normal_quote,normal_move_fill,interval_vwap,10217.0,61306000,10153.0,61308000,14:01:48.000,hedged_exit,closed,10457.0,10178.0,240.0,-25.0,215.0,0.0,215.0,2037.0,0.0,214.0,0.0
20260303-AP605-0037,20260303,AP605,AP604,long,61311000,14:01:51.000,normal_quote,normal_move_fill,interval_vwap,10214.0,61312000,10146.0,61314000,14:01:54.000,hedged_exit,closed,10454.0,10176.0,240.0,-30.0,210.0,0.0,210.0,2036.0,0.0,210.0,0.0
20260303-AP605-0038,20260303,AP605,AP604,long,61317000,14:01:57.000,normal_quote,normal_move_fill,interval_vwap,10214.0,61318000,10145.0,61320000,14:02:00.000,hedged_exit,closed,10450.0,10174.0,236.0,-29.0,207.0,0.0,207.0,2035.9,0.0,207.0,0.0
20260303-AP605-0039,20260303,AP605,AP604,long,61323000,14:02:03.000,normal_quote,normal_move_fill,interval_vwap,10205.0,61324000,10138.0,61326000,14:02:06.000,hedged_exit,closed,10442.0,10165.0,237.0,-27.0,210.0,0.0,210.0,2034.3000000000002,0.0,210.0,0.0
20260303-AP605-0040,20260303,AP605,AP604,long,61329000,14:02:09.000,normal_quote,normal_move_fill,interval_vwap,10205.0,61330000,10148.0,61332000,14:02:12.000,hedged_exit,closed,10448.0,10177.0,243.0,-29.0,214.0,0.0,214.0,2035.3000000000002,0.0,214.0,0.0
20260303-AP605-0041,20260303,AP605,AP604,long,61335000,14:02:15.000,normal_quote,normal_move_fill,interval_vwap,10210.0,61336000,10152.0,61338000,14:02:18.000,hedged_exit,closed,10453.0,10177.0,243.0,-25.0,218.0,0.0,218.0,2036.2,0.0,218.0,0.0
20260303-AP605-0042,20260303,AP605,AP604,long,61341000,14:02:21.000,normal_quote,normal_move_fill,interval_vwap,10210.0,61342000,10151.0,61344000,14:02:24.000,hedged_exit,closed,10451.0,10174.0,241.0,-23.0,218.0,0.0,218.0,2036.1,0.0,218.0,0.0
20260303-AP605-0043,20260303,AP605,AP604,long,61347000,14:02:27.000,normal_quote,normal_move_fill,interval_vwap,10207.0,61348000,10149.0,61350000,14:02:30.000,hedged_exit,closed,10453.0,10177.0,246.0,-28.0,218.0,0.0,218.0,2035.6000000000001,0.0,217.0,0.0
20260303-AP605-0044,20260303,AP605,AP604,long,61353000,14:02:33.000,normal_quote,normal_move_fill,interval_vwap,10215.0,61354000,10156.0,61356000,14:02:36.000,hedged_exit,closed,10458.0,10181.0,243.0,-25.0,218.0,0.0,218.0,2037.1,0.0,215.0,0.0
20260303-AP605-0045,20260303,AP605,AP604,long,61359000,14:02:39.000,normal_quote,normal_move_fill,interval_vwap,10218.0,61360000,10158.0,61362000,14:02:42.000,hedged_exit,closed,10458.0,10182.0,240.0,-24.0,216.0,0.0,216.0,2037.6000000000001,0.0,216.0,0.0
20260303-AP605-0046,20260303,AP605,AP604,long,61365000,14:02:45.000,normal_quote,normal_move_fill,interval_vwap,10213.0,61366000,10159.0,61368000,14:02:48.000,hedged_exit,closed,10461.0,10187.0,248.0,-28.0,220.0,0.0,220.0,2037.2000000000003,0.0,220.0,0.0
20260303-AP605-0047,20260303,AP605,AP604,long,61371000,14:02:51.000,normal_quote,normal_move_fill,interval_vwap,10223.0,61372000,10160.0,61374000,14:02:54.000,hedged_exit,closed,10458.0,10182.0,235.0,-22.0,213.0,0.0,213.0,2038.3000000000002,0.0,212.0,0.0
20260303-AP605-0048,20260303,AP605,AP604,long,61377000,14:02:57.000,normal_quote,normal_move_fill,interval_vwap,10217.0,61378000,10157.0,61380000,14:03:00.000,hedged_exit,closed,10462.0,10186.0,245.0,-29.0,216.0,0.0,216.0,2037.4,0.0,216.0,0.0
20260303-AP605-0049,20260303,AP605,AP604,long,61383000,14:03:03.000,normal_quote,normal_move_fill,interval_vwap,10216.0,61384000,10160.0,61386000,14:03:06.000,hedged_exit,closed,10463.0,10189.0,247.0,-29.0,218.0,0.0,218.0,2037.6,0.0,218.0,0.0
20260303-AP605-0050,20260303,AP605,AP604,long,61389000,14:03:09.000,normal_quote,normal_move_fill,interval_vwap,10224.0,61390000,10153.0,61392000,14:03:12.000,hedged_exit,closed,10443.0,10174.0,219.0,-21.0,198.0,0.0,198.0,2037.7000000000003,0.0,198.0,0.0
20260303-AP605-0051,20260303,AP605,AP604,long,61395000,14:03:15.000,normal_quote,normal_move_fill,interval_vwap,10201.0,61396000,10144.0,61398000,14:03:18.000,hedged_exit,closed,10444.0,10173.0,243.0,-29.0,214.0,0.0,214.0,2034.5,0.0,214.0,0.0
20260303-AP605-0052,20260303,AP605,AP604,long,61401000,14:03:21.000,normal_quote,normal_move_fill,interval_vwap,10209.0,61402000,10147.0,61404000,14:03:24.000,hedged_exit,closed,10446.0,10169.0,237.0,-22.0,215.0,0.0,215.0,2035.6000000000001,0.0,213.0,0.0
20260303-AP605-0053,20260303,AP605,AP604,long,61407000,14:03:27.000,normal_quote,normal_move_fill,interval_vwap,10206.0,61408000,10142.0,61410000,14:03:30.000,hedged_exit,closed,10448.0,10172.0,242.0,-30.0,212.0,0.0,212.0,2034.8000000000002,0.0,211.0,0.0
20260303-AP605-0054,20260303,AP605,AP604,long,61413000,14:03:33.000,normal_quote,normal_move_fill,interval_vwap,10206.0,61414000,10145.0,61416000,14:03:36.000,hedged_exit,closed,10443.0,10166.0,237.0,-21.0,216.0,0.0,216.0,2035.1,0.0,215.0,0.0
20260303-AP605-0055,20260303,AP605,AP604,long,61419000,14:03:39.000,normal_quote,normal_move_fill,interval_vwap,10202.0,61420000,10140.0,61422000,14:03:42.000,hedged_exit,closed,10441.0,10164.0,239.0,-24.0,215.0,0.0,215.0,2034.2,0.0,215.0,0.0
20260303-AP605-0056,20260303,AP605,AP604,long,61425000,14:03:45.000,normal_quote,normal_move_fill,interval_vwap,10199.0,61426000,10139.0,61428000,14:03:48.000,hedged_exit,closed,10437.0,10162.0,238.0,-23.0,215.0,0.0,215.0,2033.8000000000002,0.0,215.0,0.0
20260303-AP605-0057,20260303,AP605,AP604,long,61432000,14:03:52.000,normal_quote,normal_move_fill,interval_vwap,10195.0,61433000,10138.0,61435000,14:03:55.000,hedged_exit,closed,10441.0,10165.0,246.0,-27.0,219.0,0.0,219.0,2033.3000000000002,0.0,219.0,0.0
20260303-AP605-0058,20260303,AP605,AP604,long,61438000,14:03:58.000,normal_quote,normal_move_fill,interval_vwap,10196.0,61439000,10139.0,61441000,14:04:01.000,hedged_exit,closed,10448.0,10171.0,252.0,-32.0,220.0,0.0,220.0,2033.5,0.0,218.0,0.0
20260303-AP605-0059,20260303,AP605,AP604,long,61444000,14:04:04.000,normal_quote,normal_move_fill,interval_vwap,10201.0,61445000,10140.0,61447000,14:04:07.000,hedged_exit,closed,10439.0,10162.0,238.0,-22.0,216.0,0.0,216.0,2034.1,0.0,213.0,0.0
20260303-AP605-0060,20260303,AP605,AP604,long,61450000,14:04:10.000,normal_quote,normal_move_fill,interval_vwap,10199.0,61451000,10133.0,61453000,14:04:13.000,hedged_exit,closed,10427.0,10151.0,228.0,-18.0,210.0,0.0,210.0,2033.2000000000003,0.0,209.0,0.0
20260303-AP605-0061,20260303,AP605,AP604,long,61456000,14:04:16.000,normal_quote,normal_move_fill,interval_vwap,10180.0,61457000,10116.0,61459000,14:04:19.000,hedged_exit,closed,10403.0,10129.0,223.0,-13.0,210.0,0.0,210.0,2029.6,0.0,210.0,0.0
